"crime_category","crime_head","below_18_years_male","below_18_years_female","below_18_years_total","18_years_and_above_below_30_years_male","18_years_and_above_below_30_years_female","18_years_and_above_below_30_years_total","30_years_and_above_below_45_years_male","30_years_and_above_below_45_years_female","30_years_and_above_below_45_years_total","45_years_and_above_below_60_years_male","45_years_and_above_below_60_years_female","45_years_and_above_below_60_years_total","60_years_and_above_male","60_years_and_above_female","60_years_and_above_total","total_of_overall_age_group_male","total_of_overall_age_group_female","grand_total_of_male_and_female_arrested_including_juveniles"
"IPC","1 Murder","1050","42","1092","25013","1367","26380","22975","1823","24798","8410","665","9075","737","77","814","58185","3974","62159"
"IPC","2 Attempt to Commit Murder","1339","21","1360","38823","1288","40111","35242","1853","37095","13708","661","14369","932","70","1002","90044","3893","93937"
"IPC","3 Culpable Homicide not Amounting to Murder","41","","41","2615","56","2671","2669","101","2770","906","29","935","67","2","69","6298","188","6486"
"IPC","4 Attempt to Commit Culpable Homicide","89","","89","4145","88","4233","3934","128","4062","1384","63","1447","62","2","64","9614","281","9895"
"IPC","5 Rape","1837","4","1841","23998","373","24371","12189","526","12715","2668","196","2864","223","22","245","40915","1121","42036"
"IPC","5.1 Custodial Rape","","","","89","","89","43","","43","2","","2","","","","134","","134"
"IPC","5.1.1 Gang Rape","","","","6","","6","4","","4","","","","","","","10","","10"
"IPC","5.1.2 Other Rape","","","","83","","83","39","","39","2","","2","","","","124","","124"
"IPC","5.2 Rape other than Custodial","1837","4","1841","23909","373","24282","12146","526","12672","2666","196","2862","223","22","245","40781","1121","41902"
"IPC","5.2.1 Gang Rape","133","","133","3054","27","3081","1314","29","1343","139","4","143","7","","7","4647","60","4707"
"IPC","5.2.2 Other Rape","1704","4","1708","20855","346","21201","10832","497","11329","2527","192","2719","216","22","238","36134","1061","37195"
"IPC","6 Attempt to Commit Rape","78","","78","2390","3","2393","1526","1","1527","328","","328","12","","12","4334","4","4338"
"IPC","7 Kidnapping and Abduction","1491","17","1508","41653","1014","42667","22760","1141","23901","5007","303","5310","156","15","171","71067","2490","73557"
"IPC","7.1 Kidnapping and Abduction","458","8","466","9339","288","9627","5313","318","5631","1070","85","1155","36","7","43","16216","706","16922"
